epoch,step,train_dice,train_iou,train_loss,val_dice,val_iou,val_loss
0,4,,,,0.8992248177528381,0.8199805617332458,0.10569571703672409
0,4,0.8738264441490173,0.7878823280334473,0.260121613740921,,,
1,9,,,,0.9528189897537231,0.910773515701294,0.1031000167131424
1,9,0.9845278263092041,0.9698359370231628,0.14470301568508148,,,
2,14,,,,0.9707421064376831,0.9433810710906982,0.09736637771129608
2,14,0.9917553663253784,0.983657717704773,0.0981535017490387,,,
3,19,,,,0.984664797782898,0.9698584675788879,0.07330770790576935
3,19,0.9946407675743103,0.9893418550491333,0.07225397229194641,,,
4,24,,,,0.9918358325958252,0.9838238954544067,0.057639624923467636
4,24,0.9946545362472534,0.9893714189529419,0.055461566895246506,,,
5,29,,,,0.9939244389533997,0.9879305362701416,0.04244057461619377
5,29,0.9952751994132996,0.9905986785888672,0.043730780482292175,,,
6,34,,,,0.9951692223548889,0.9903894066810608,0.032622139900922775
6,34,0.9950584769248962,0.9901707172393799,0.0359639972448349,,,
7,39,,,,0.9948664903640747,0.9897893071174622,0.029211826622486115
7,39,0.9952725172042847,0.9905944466590881,0.029881754890084267,,,
8,44,,,,0.9950501322746277,0.9901524782180786,0.025616837665438652
8,44,0.9956473112106323,0.9913371205329895,0.02557140588760376,,,
9,49,,,,0.9950845241546631,0.9902188181877136,0.023080937564373016
9,49,0.9953406453132629,0.9907320737838745,0.022950610145926476,,,
10,54,,,,0.9951571226119995,0.9903637766838074,0.020216219127178192
10,54,0.9951700568199158,0.99039226770401,0.020380206406116486,,,
11,59,,,,0.9954410195350647,0.9909257888793945,0.018656274303793907
11,59,0.9955125451087952,0.9910705089569092,0.018498897552490234,,,
12,64,,,,0.9954802393913269,0.9910032749176025,0.018382880836725235
12,64,0.9958263039588928,0.9916907548904419,0.016559375450015068,,,
13,69,,,,0.9951850175857544,0.9904171824455261,0.016491254791617393
13,69,0.9956279397010803,0.9912989139556885,0.01545157004147768,,,
14,74,,,,0.9951308369636536,0.9903122782707214,0.015288512222468853
14,74,0.9956699013710022,0.9913812279701233,0.014276723377406597,,,
15,79,,,,0.9951440095901489,0.9903379082679749,0.014887558296322823
15,79,0.9958701729774475,0.9917782545089722,0.013193600811064243,,,
16,84,,,,0.9953947067260742,0.9908339977264404,0.013390753418207169
16,84,0.9956930875778198,0.9914271831512451,0.012852556072175503,,,
17,89,,,,0.9953734278678894,0.9907913208007812,0.013400567695498466
17,89,0.9963164925575256,0.9926643371582031,0.011575407348573208,,,
18,94,,,,0.9954441785812378,0.9909332990646362,0.012345705181360245
18,94,0.9958641529083252,0.9917659759521484,0.011436601169407368,,,
19,99,,,,0.9952016472816467,0.9904515743255615,0.011847244575619698
19,99,0.9956090450286865,0.9912604093551636,0.011120934970676899,,,
20,104,,,,0.9952227473258972,0.9904917478561401,0.01118863932788372
20,104,0.9959799647331238,0.9919955134391785,0.010399699211120605,,,
21,109,,,,0.995405912399292,0.9908564686775208,0.01076427474617958
21,109,0.9964383244514465,0.9929056167602539,0.009546882472932339,,,
22,114,,,,0.9952564239501953,0.99056077003479,0.010372910648584366
22,114,0.99673992395401,0.993503987789154,0.008941544219851494,,,
23,119,,,,0.9955028891563416,0.9910497665405273,0.009992307983338833
23,119,0.9965676069259644,0.993162989616394,0.008764452300965786,,,
24,124,,,,0.9952521920204163,0.9905511140823364,0.009796764701604843
24,124,0.996580958366394,0.9931895136833191,0.008489721454679966,,,
25,129,,,,0.9952752590179443,0.9905987977981567,0.00937079731374979
25,129,0.9964016675949097,0.9928328394889832,0.008367723785340786,,,
26,134,,,,0.9957016706466675,0.9914435148239136,0.008993446826934814
26,134,0.9965713024139404,0.9931697845458984,0.007944583892822266,,,
27,139,,,,0.9954859614372253,0.9910156726837158,0.008692886680364609
27,139,0.9962351322174072,0.9925016760826111,0.00798140000551939,,,
28,144,,,,0.9954861402511597,0.9910168051719666,0.008272085338830948
28,144,0.9966714382171631,0.9933680295944214,0.00757026020437479,,,
29,149,,,,0.9950711131095886,0.990192711353302,0.008757776580750942
29,149,0.9968388080596924,0.9937004446983337,0.007131146267056465,,,
30,154,,,,0.9952143430709839,0.9904760718345642,0.008627917617559433
30,154,0.9966843724250793,0.9933931827545166,0.007027685642242432,,,
31,159,,,,0.9952824115753174,0.9906113743782043,0.008192413486540318
31,159,0.9972474575042725,0.9945128560066223,0.0065518151968717575,,,
32,164,,,,0.9954991936683655,0.9910414814949036,0.00777272367849946
32,164,0.9973452091217041,0.9947068691253662,0.006218737922608852,,,
33,169,,,,0.995372474193573,0.9907916188240051,0.007864813320338726
33,169,0.9968758821487427,0.9937741756439209,0.006492435932159424,,,
34,174,,,,0.9951587319374084,0.990365743637085,0.008035083301365376
34,174,0.9972237348556519,0.9944649934768677,0.006116330623626709,,,
35,179,,,,0.9949498772621155,0.9899576902389526,0.007507655303925276
35,179,0.9970613121986389,0.9941424131393433,0.006038076244294643,,,
36,184,,,,0.9951844811439514,0.9904209971427917,0.007418725173920393
36,184,0.9967681169509888,0.993560791015625,0.006227870937436819,,,
37,189,,,,0.9953978657722473,0.9908415675163269,0.007309251464903355
37,189,0.997168779373169,0.9943554401397705,0.005779160186648369,,,
38,194,,,,0.995229959487915,0.990509569644928,0.007443713024258614
38,194,0.9971550703048706,0.9943282604217529,0.005580624099820852,,,
39,199,,,,0.995179295539856,0.9904090166091919,0.007162756286561489
39,199,0.9973034262657166,0.9946231842041016,0.005545563064515591,,,
40,204,,,,0.9949366450309753,0.9899271726608276,0.007502006366848946
40,204,0.9970306754112244,0.9940814971923828,0.005590703804045916,,,
41,209,,,,0.9946779608726501,0.9894145131111145,0.0073663461953401566
41,209,0.9972149729728699,0.9944469928741455,0.005260937847197056,,,
42,214,,,,0.9954111576080322,0.9908682703971863,0.006755212787538767
42,214,0.9971795678138733,0.9943760633468628,0.005230850540101528,,,
43,219,,,,0.9951590299606323,0.9903685450553894,0.006957212928682566
43,219,0.9972206950187683,0.9944589138031006,0.005077640060335398,,,
44,224,,,,0.9953810572624207,0.9908091425895691,0.006739026866853237
44,224,0.9968116283416748,0.9936466217041016,0.005529887042939663,,,
45,229,,,,0.995446503162384,0.9909369349479675,0.006606837268918753
45,229,0.9968456625938416,0.9937126636505127,0.005519283935427666,,,
46,234,,,,0.9955482482910156,0.9911402463912964,0.006429261527955532
46,234,0.997514009475708,0.9950419664382935,0.004656294826418161,,,
47,239,,,,0.99538254737854,0.9908106923103333,0.006632592994719744
47,239,0.9975874423980713,0.9951878786087036,0.004476275760680437,,,
48,244,,,,0.9956629872322083,0.9913679957389832,0.0062635475769639015
48,244,0.997757077217102,0.9955251216888428,0.004286488052457571,,,
49,249,,,,0.995629072189331,0.9913000464439392,0.006118297576904297
49,249,0.99755859375,0.9951305389404297,0.004527827259153128,,,
